variance,max H,max S,max V,H*S,ok not ok,
255,176,96,255,16896,1,
318,176,97,255,17072,1,
327,177,98,255,17346,1,
319,177,105,255,18585,1,
275,177,106,255,18762,1,
224,177,106,255,18762,1,
175,178,106,255,18868,1,
142,177,104,255,18408,1,
117,177,106,255,18762,1,
91,177,107,255,18939,1,
73,176,107,255,18832,1,
842,178,107,255,19046,1,
845,178,107,255,19046,1,
43,177,102,255,18054,1,
39,176,101,255,17776,1,
37,175,103,255,18025,1,
41,175,104,255,18200,1,
44,177,103,255,18231,1,
48,178,102,255,18156,1,
48,179,104,255,18616,1,
46,179,105,255,18795,1,
44,178,105,255,18690,1,
39,177,106,255,18762,1,
34,175,105,255,18375,1,
31,176,105,255,18480,1,
27,177,105,255,18585,1,
190,179,105,255,18795,1,
194,179,104,255,18616,1,
70,179,104,255,18616,1,
66,179,104,255,18616,1,
729,179,107,255,19153,1,
