variance,max H,max S,max V,H*S,ok not ok
1.25E+03,176,99,255,17424,1
1.25E+03,176,99,255,17424,1
1.25E+03,176,99,255,17424,1
1.25E+03,176,99,255,17424,1
1.25E+03,176,99,255,17424,1
1.14E+02,179,126,255,22554,1
1.03E+02,179,127,252,22733,1
1.03E+02,179,127,252,22733,1
1.03E+02,179,127,252,22733,1
4.48E+01,179,127,243,22733,1
4.48E+01,179,127,243,22733,1
1.03E+02,179,127,252,22733,1
1.03E+02,179,127,252,22733,1
9.10E+01,179,128,231,22912,1
9.10E+01,179,128,231,22912,1
2.86E+02,179,196,192,35084,1
2.86E+02,179,196,192,35084,1
2.86E+02,179,196,192,35084,1
2.86E+02,179,196,192,35084,1
2.86E+02,179,196,192,35084,1
2.86E+02,179,196,192,35084,1
3.90E+02,176,196,192,34496,1
3.90E+02,176,196,192,34496,1
3.90E+02,176,196,192,34496,1
3.90E+02,176,196,192,34496,1
4.42E+03,178,150,255,26700,1
4.42E+03,178,150,255,26700,1
4.42E+03,178,150,255,26700,1
4.42E+03,178,150,255,26700,1
4.42E+03,178,150,255,26700,1
4.42E+03,178,150,255,26700,1
4.42E+03,178,150,255,26700,1
4.74E+03,175,163,255,28525,1
6.91E+01,179,216,172,38664,1
6.11E+01,179,217,171,38843,1
6.24E+01,178,209,173,37202,1
6.56E+01,179,203,172,36337,1
1.05E+02,179,204,172,36516,1
6.82E+01,179,201,173,35979,1
7.04E+01,179,204,172,36516,1
7.35E+01,179,204,172,36516,1
1.04E+02,179,199,173,35621,1
7.11E+01,179,199,173,35621,1
3.40E+02,179,153,255,27387,1
3.38E+02,179,152,255,27208,1
2.43E+02,179,147,255,26313,1
2.22E+02,179,144,255,25776,1
2.10E+02,179,140,255,25060,1
2.04E+02,179,140,255,25060,1
